lable,Sample ID,Inspection Time of Prestate,Inspection Time of PostState IRI,Pre-State IRI,Post-State IRI,Inspection Post time for Sneff,Sneff ,,,Construction year,Functional inspection year,Structural inspection year,Number of samples,&,,,,,,,,
1,1,2009,2021,1,2.812698076,2017,3.139311705,2009&2021&2017,,2006,2021,2017,431,2006&2021&2017,2006&2021&2017&431\\,,,,,,,
1,2,2009,2021,1,1.963414366,2017,3.456336994,2009&2021&2017,,2007,2021,2017,301,2007&2021&2017,2007&2021&2017&301\\,,,,,,,
1,3,2009,2021,1,11.33965143,2017,3.709232336,2009&2021&2017,,2008,2021,2017,400,2008&2021&2017,2008&2021&2017&400\\,,,,,,,
1,4,2009,2021,1,4.712948877,2017,3.438856441,2009&2021&2017,,2009,2021,2017,277,2009&2021&2017,2009&2021&2017&277\\,,,,,,,
1,5,2009,2021,1,2.712963394,2017,3.02589792,2009&2021&2017,,2011,2021,2017,253,2011&2021&2017,2011&2021&2017&253\\,,,,,,,
1,6,2009,2021,1,2.347420321,2017,3.081954703,2009&2021&2017,,2012,2024,2024,626,2012&2024&2024,2012&2024&2024&626\\,,,,,,,
1,7,2009,2021,1,1.899921443,2017,2.735083592,2009&2021&2017,,,,,,,,,,,,,,
1,8,2009,2021,1,1.405653357,2017,3.233527995,2009&2021&2017,,,,,,,,,,,,,,
1,9,2009,2021,1,1.252780932,2017,3.888417891,2009&2021&2017,,,,,,,,,,,,,,
1,10,2009,2021,1,1.224630904,2017,4.199525356,2009&2021&2017,,,,,データ区間,頻度,,,データ区間,頻度,,,データ区間,頻度
1,11,2009,2021,1,1.750958485,2017,3.810644994,2009&2021&2017,,,,0,0,0,,0,0,0,,1,1,0
1,12,2009,2021,1,1.406965782,2017,3.332320775,2009&2021&2017,,,,0.25,0.25,0,,0.1,0.1,0,,1.1,1.1,1
1,13,2009,2021,1,1.06248703,2017,3.488532071,2009&2021&2017,,,,0.5,0.5,0,,0.2,0.2,0,,1.2,1.2,0
1,14,2009,2021,1,1.002701113,2017,3.158341929,2009&2021&2017,,,,0.75,0.75,5,,0.3,0.3,0,,1.3,1.3,0
1,15,2009,2021,1,1.491484807,2017,3.750228401,2009&2021&2017,,,,1,1,101,,0.4,0.4,0,,1.4,1.4,1
