橋梁ID,点検年1,BCI1,点検年2,BCI2,
1,1977,100,2001,74.8,24
1,2002,74.9,2004,70.6,2
1,2004,70.6,2006,70.5,2
1,2012,74.2,2014,74.2,2
1,2014,74.2,2016,73.9,2
2,1976,100,2001,74.5,25
2,2001,74.5,2002,74,1
2,2002,74,2004,73.6,2
2,2004,73.6,2006,73.6,2
2,2006,73.6,2008,73.5,2
2,2012,73.9,2014,73.9,2
3,1982,100,2001,94.2,19
3,2001,94.2,2002,75,1
3,2002,75,2004,73.4,2
3,2004,73.4,2006,73.4,2
3,2006,73.4,2008,73.4,2
3,2008,73.4,2010,72.5,2
3,2012,72.7,2014,72.4,2
3,2014,72.4,2016,71.8,2
4,1990,100,2002,75,12
4,2002,75,2004,75,2
4,2004,75,2006,74.9,2
4,2006,74.9,2008,74.8,2
4,2008,74.8,2010,74.6,2
4,2010,74.6,2012,74.5,2
4,2012,74.5,2014,74.5,2
4,2014,74.5,2016,74.5,2
5,1990,100,2002,75,12
5,2002,75,2004,75,2
5,2004,75,2006,74.9,2
5,2006,74.9,2008,74.8,2
5,2008,74.8,2010,74.6,2
5,2010,74.6,2012,74.6,2
5,2012,74.6,2014,74.6,2
5,2014,74.6,2016,74.3,2
6,1991,100,2001,96.7,10
6,2001,96.7,2002,75,1
6,2002,75,2004,74.8,2
6,2004,74.8,2006,74.7,2
6,2006,74.7,2008,74.5,2
6,2008,74.5,2010,73.9,2
6,2012,74.1,2014,74.1,2
6,2014,74.1,2016,74,2
7,1976,100,2002,74.9,26
7,2002,74.9,2004,66.1,2
7,2004,66.1,2006,65.9,2
7,2006,65.9,2008,63.9,2
7,2010,64.4,2012,63.8,2
7,2012,63.8,2014,63.4,2
8,1976,100,2001,74.9,25
8,2001,74.9,2002,74.9,1
8,2002,74.9,2004,74.9,2
8,2004,74.9,2006,66.4,2
8,2006,66.4,2008,66.4,2
8,2008,66.4,2010,65.7,2
8,2010,65.7,2012,64.6,2
8,2012,64.6,2014,64.1,2
9,2007,100,2008,99.9,1
9,2008,99.9,2010,99.5,2
9,2010,99.5,2012,98.1,2
9,2012,98.1,2014,96.4,2
9,2014,96.4,2016,95.7,2
10,1986,100,2001,98.1,15
10,2001,98.1,2003,83.5,2
10,2003,83.5,2005,81.4,2
10,2005,81.4,2006,78.3,1
10,2006,78.3,2007,77.8,1
10,2009,80.7,2011,79.5,2
10,2011,79.5,2013,76.3,2
10,2013,76.3,2015,75.7,2
10,2015,75.7,2017,74.8,2
11,1930,100,2001,75,71
11,2001,75,2003,74.9,2
11,2003,74.9,2005,72.5,2
11,2005,72.5,2006,72.5,1
11,2006,72.5,2007,71.8,1
11,2007,71.8,2009,61.4,2
11,2009,61.4,2011,60.4,2
11,2013,74.5,2015,74.2,2
11,2015,74.2,2017,73.3,2
12,1978,100,2001,75,23
12,2001,75,2003,75,2
12,2003,75,2005,75,2
12,2005,75,2006,75,1
12,2006,75,2007,75,1
12,2007,75,2009,75,2
12,2009,75,2011,75,2
12,2013,75.1,2015,75.1,2
12,2015,75.1,2017,75,2
13,1971,100,2001,100,30
13,2001,100,2003,73.6,2
13,2003,73.6,2005,73.6,2
13,2006,74.3,2007,72.9,1
13,2009,74.3,2011,73.8,2
13,2011,73.8,2013,73.1,2
13,2013,73.1,2015,71.9,2
13,2015,71.9,2017,71.3,2
14,1971,100,2001,100,30
14,2001,100,2003,74.9,2
14,2003,74.9,2005,74.9,2
14,2005,74.9,2006,74.6,1
14,2006,74.6,2007,74.6,1
14,2007,74.6,2009,74.4,2
14,2009,74.4,2011,73.6,2
14,2011,73.6,2013,73.6,2
14,2013,73.6,2015,73.1,2
14,2015,73.1,2017,72.9,2
15,1971,100,2001,96.9,30
15,2001,96.9,2003,73.5,2
15,2003,73.5,2005,73.5,2
15,2006,74.1,2007,74.1,1
15,2007,74.1,2009,74.1,2
15,2011,74.2,2013,74,2
15,2013,74,2015,73.3,2
15,2015,73.3,2017,72.9,2
16,1970,100,2001,97.4,31
16,2001,97.4,2003,75,2
16,2003,75,2005,75,2
16,2005,75,2006,71,1
16,2006,71,2007,71,1
16,2007,71,2009,69,2
16,2009,69,2011,69,2
16,2011,69,2013,68.6,2
16,2013,68.6,2015,68.6,2
16,2015,68.6,2017,68.2,2
17,1970,100,2001,99,31
17,2001,99,2003,60.6,2
17,2003,60.6,2005,56.5,2
17,2005,56.5,2006,56.5,1
17,2006,56.5,2007,56.5,1
17,2009,67.2,2011,66,2
17,2011,66,2013,65.4,2
17,2013,65.4,2015,64.7,2
17,2015,64.7,2017,64.7,2
18,2001,58.8,2003,58.5,2
18,2005,100,2006,99.9,1
18,2006,99.9,2007,99.9,1
18,2007,99.9,2009,99.9,2
18,2009,99.9,2011,97.2,2
18,2011,97.2,2013,96,2
18,2013,96,2015,95.5,2
18,2015,95.5,2017,85.4,2
19,1993,100,2001,65.7,8
19,2001,65.7,2003,65.5,2
19,2003,65.5,2005,60.3,2
19,2006,60.5,2007,56.2,1
19,2007,56.2,2009,56.2,2
19,2009,56.2,2011,52.8,2
19,2011,52.8,2013,51.5,2
19,2013,51.5,2015,49.5,2
19,2015,49.5,2017,49.4,2
20,1970,100,2001,74.1,31
20,2001,74.1,2003,73.8,2
20,2003,73.8,2005,73.8,2
20,2006,74,2007,73.3,1
20,2009,73.4,2011,72.7,2
20,2011,72.7,2013,72.2,2
20,2013,72.2,2015,72,2
20,2015,72,2017,71.6,2
21,2003,100,2005,100,2
21,2005,100,2006,100,1
21,2006,100,2007,100,1
21,2007,100,2009,99.9,2
21,2009,99.9,2011,99.9,2
21,2011,99.9,2013,98.2,2
21,2013,98.2,2015,97,2
21,2015,97,2017,84.1,2
22,2001,100,2003,100,2
22,2003,100,2005,99.2,2
22,2006,99.5,2007,99.5,1
22,2007,99.5,2009,99.5,2
22,2009,99.5,2011,99.2,2
22,2011,99.2,2013,98.6,2
22,2013,98.6,2015,97.7,2
22,2015,97.7,2017,83.2,2
23,1997,100,2001,100,4
23,2001,100,2003,100,2
23,2003,100,2005,100,2
23,2005,100,2006,99.7,1
23,2006,99.7,2007,91.3,1
23,2007,91.3,2009,74.9,2
23,2009,74.9,2011,74.1,2
23,2013,74.3,2015,73.4,2
24,1930,100,2001,70.4,71
24,2005,72.1,2006,63.8,1
24,2006,63.8,2007,63.3,1
24,2007,63.3,2009,63.3,2
24,2011,75,2013,74.3,2
24,2013,74.3,2015,73.8,2
24,2015,73.8,2017,73.5,2
25,1977,100,2001,97.3,24
25,2001,97.3,2003,71.5,2
25,2003,71.5,2005,68.1,2
25,2005,68.1,2006,68.1,1
25,2006,68.1,2007,68.1,1
25,2009,71.6,2011,71.6,2
25,2013,75.2,2015,75.1,2
25,2015,75.1,2017,75,2
26,1930,100,2001,73.3,71
26,2001,73.3,2003,73.2,2
26,2003,73.2,2005,68.1,2
26,2005,68.1,2006,67.3,1
26,2006,67.3,2007,66.2,1
26,2007,66.2,2009,62,2
26,2009,62,2011,62,2
26,2013,76.6,2015,76.1,2
26,2015,76.1,2017,74.6,2
27,1930,100,2001,74.3,71
27,2001,74.3,2003,74.2,2
27,2003,74.2,2005,72.7,2
27,2005,72.7,2006,72.7,1
27,2006,72.7,2007,71.2,1
27,2007,71.2,2009,70.4,2
27,2009,70.4,2011,70.4,2
27,2013,74.4,2015,73.6,2
27,2015,73.6,2017,73.3,2
28,1970,100,2001,70.9,31
28,2003,71.8,2005,71.8,2
28,2005,71.8,2006,70.4,1
28,2006,70.4,2007,69.7,1
28,2007,69.7,2009,68.9,2
28,2009,68.9,2011,64.4,2
28,2011,64.4,2013,64.4,2
28,2013,64.4,2015,64.1,2
28,2015,64.1,2017,63.1,2
29,1956,100,2014,66.3,58
29,2015,66.4,2017,66.4,2
30,1975,100,2000,93.1,25
30,2000,93.1,2002,73.6,2
30,2002,73.6,2004,73.1,2
30,2004,73.1,2006,73.1,2
30,2006,73.1,2008,72.9,2
30,2008,72.9,2010,72.6,2
30,2010,72.6,2012,72.5,2
30,2012,72.5,2014,70.9,2
30,2014,70.9,2016,70.7,2
31,1975,100,2000,93,25
31,2000,93,2002,72.7,2
31,2004,73.5,2006,71.7,2
31,2006,71.7,2008,70.2,2
31,2008,70.2,2010,69.8,2
31,2010,69.8,2012,68.1,2
31,2012,68.1,2014,66.3,2
31,2014,66.3,2016,66.2,2
