経過年数,建設時健全度（1と仮定）,調査時健全度,定数項（x1＝1）,管径,管渠延長,スパンID,調査年,建設年,材質番号（1 ヒューム管）
16,1,1,1,0.151515152,0.199761905,10987002,2013,1997,1
16,1,2,1,0.151515152,0.123857143,10988012,2013,1997,1
16,1,2,1,0.151515152,0.145714286,10997005,2013,1997,1
14,1,3,1,0.151515152,0.183333333,10997015,2013,1999,1
14,1,1,1,0.151515152,0.119761905,10997027,2013,1999,1
14,1,1,1,0.151515152,0.08552381,10997039,2013,1999,1
16,1,1,1,0.151515152,0.16147619,10998007,2013,1997,1
18,1,1,1,0.151515152,0.157333333,10998019,2013,1995,1
16,1,1,1,0.151515152,0.051952381,10998027,2013,1997,1
16,1,1,1,0.151515152,0.094761905,10998039,2013,1997,1
16,1,2,1,0.151515152,0.109666667,10998051,2013,1997,1
9,1,1,1,0.151515152,0.119095238,11868004,2010,2001,1
9,1,1,1,0.151515152,0.092857143,11868016,2010,2001,1
9,1,2,1,0.151515152,0.069047619,11868024,2010,2001,1
18,1,1,1,0.151515152,0.118952381,11869027,2010,1992,1
19,1,1,1,0.151515152,0.105095238,11869039,2010,1991,1
9,1,1,1,0.151515152,0.119095238,11878012,2010,2001,1
9,1,1,1,0.151515152,0.119095238,11878028,2010,2001,1
21,1,1,1,0.151515152,0.045238095,11878043,2010,1989,1
9,1,1,1,0.151515152,0.119142857,11878064,2010,2001,1
9,1,1,1,0.151515152,0.119,11878076,2010,2001,1
36,1,1,1,0.151515152,0.142857143,11879002,2010,1974,1
21,1,1,1,0.151515152,0.107142857,11879012,2010,1989,1
9,1,1,1,0.151515152,0.119142857,11879027,2010,2001,1
18,1,1,1,0.151515152,0.045142857,11879039,2010,1992,1
18,1,2,1,0.151515152,0.088095238,11879051,2010,1992,1
18,1,1,1,0.151515152,0.119190476,11879057,2010,1992,1
18,1,1,1,0.151515152,0.119,11879069,2010,1992,1
18,1,1,1,0.151515152,0.126095238,11879081,2010,1992,1
19,1,1,1,0.151515152,0.119047619,11879101,2010,1991,1
19,1,1,1,0.151515152,0.119047619,11879112,2010,1991,1
20,1,1,1,0.151515152,0.138285714,11879123,2010,1990,1
19,1,1,1,0.151515152,0.142761905,11879133,2010,1991,1
9,1,1,1,0.151515152,0.07147619,11887015,2010,2001,1
9,1,1,1,0.151515152,0.095428571,11887026,2010,2001,1
9,1,1,1,0.151515152,0.104904762,11887037,2010,2001,1
9,1,1,1,0.151515152,0.119428571,11888018,2010,2001,1
36,1,2,1,0.151515152,0.119047619,11888024,2010,1974,1
36,1,2,1,0.151515152,0.1,11888038,2010,1974,1
36,1,3,1,0.151515152,0.142857143,11888052,2010,1974,1
36,1,1,1,0.151515152,0.138095238,11888064,2010,1974,1
36,1,1,1,0.151515152,0.119047619,11888083,2010,1974,1
9,1,1,1,0.151515152,0.072571429,11888097,2010,2001,1
36,1,1,1,0.151515152,0.128571429,11889003,2010,1974,1
36,1,1,1,0.151515152,0.095238095,11889020,2010,1974,1
36,1,3,1,0.151515152,0.142857143,11889023,2010,1974,1
36,1,1,1,0.151515152,0.08952381,11889041,2010,1974,1
36,1,1,1,0.151515152,0.142857143,11889053,2010,1974,1
36,1,1,1,0.151515152,0.095238095,11889071,2010,1974,1
36,1,3,1,0.151515152,0.142857143,11889083,2010,1974,1
21,1,1,1,0.151515152,0.13,11889096,2010,1989,1
21,1,1,1,0.151515152,0.14047619,11889105,2010,1989,1
36,1,2,1,0.151515152,0.116666667,11889115,2010,1974,1
36,1,1,1,0.151515152,0.119047619,11889125,2010,1974,1
36,1,2,1,0.151515152,0.119047619,11898001,2010,1974,1
36,1,2,1,0.151515152,0.111904762,11898022,2010,1974,1
36,1,2,1,0.151515152,0.142857143,11899002,2010,1974,1
36,1,1,1,0.151515152,0.088095238,11899008,2010,1974,1
36,1,2,1,0.151515152,0.076190476,11899018,2010,1974,1
36,1,2,1,0.151515152,0.119047619,11899028,2010,1974,1
36,1,3,1,0.151515152,0.142857143,11899036,2010,1974,1
36,1,1,1,0.151515152,0.119047619,11899048,2010,1974,1
36,1,1,1,0.151515152,0.142857143,11899068,2010,1974,1
36,1,1,1,0.151515152,0.119047619,11899078,2010,1974,1
36,1,1,1,0.181818182,0.066666667,11899086,2010,1974,1
36,1,1,1,0.181818182,0.145238095,11899098,2010,1974,1
36,1,1,1,0.151515152,0.121428571,11899101,2010,1974,1
